"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",25.049999999999997,28.525000000000002,32.349999999999994,3.8249999999999997,"3","23","14","0",29.5,40190.0,675140.5217391305,658.2231739130434,10.695652173913043,"8","42.126141434782625","1.952228391304347","-3.656467260869566"
"1",27.0,29.0,36.0,7.0,"false","false","true","false",NA,40190.0,672919.0,NA,NA,"false","27.5","0.5","-1.5"
"2",23.0,26.0,35.0,9.0,"false","true","false","false",29.0,40190.0,675674.0,174.193,0.0,"false","24.872603","1.8726030000000016","-1.1273969999999984"
"3",29.0,34.0,43.0,9.0,"false","false","true","false",NA,40190.0,668452.0,NA,NA,"false","30.540318","1.5403179999999992","-3.459682000000001"
"4",22.0,28.0,29.0,1.0,"false","true","false","false",28.0,40190.0,675898.0,145.663,0.0,"false","23.43501","1.4350099999999983","-4.564990000000002"
"5",23.0,28.0,33.0,5.0,"false","true","false","false",31.0,40190.0,676029.0,774.634,0.0,"false","25.212106","2.2121059999999986","-2.7878940000000014"
"6",26.0,30.0,34.0,4.0,"false","false","true","false",NA,40190.0,675698.0,NA,NA,"false","27.18311","1.1831099999999992","-2.816890000000001"
"7",26.0,29.0,33.0,4.0,"false","false","true","false",NA,40190.0,672900.0,NA,NA,"false","27.511527","1.511527000000001","-1.488472999999999"
"8",23.0,26.0,27.0,1.0,"false","true","false","false",27.0,40190.0,675816.0,63.354,0.0,"true","23.94802","0.9480199999999996","-2.0519800000000004"
"9",20.0,21.0,27.0,6.0,"false","false","true","false",NA,40190.0,677816.0,NA,NA,"false","20.887867","0.887867","-0.11213300000000004"
"10",25.0,31.0,35.0,4.0,"false","true","false","false",31.0,40190.0,673873.0,125.626,0.0,"false","26.407113","1.407112999999999","-4.592887000000001"
"11",26.0,27.0,29.0,2.0,"false","true","false","false",29.0,40190.0,675866.0,143.646,0.0,"true","26.533333","0.533332999999999","-0.46666700000000105"
"12",21.0,23.0,26.0,3.0,"false","true","false","false",23.0,40190.0,678802.0,14.07,0.0,"false","22.000152","1.000152","-0.9998480000000001"
"13",25.0,27.0,30.0,3.0,"false","true","false","false",28.0,40190.0,675727.0,1144.289,0.0,"false","25.563781","0.5637809999999988","-1.4362190000000012"
"14",26.0,30.0,37.0,7.0,"false","true","false","false",33.0,40190.0,672219.0,3148.791,246.0,"false","27.4895","1.4894999999999996","-2.5105000000000004"
"15",23.0,31.0,32.0,1.0,"false","true","false","false",32.0,40190.0,675491.0,331.541,0.0,"true","25.287253","2.2872529999999998","-5.712747"
"16",29.0,31.0,31.0,0.0,"true",NA,NA,NA,31.0,NA,NA,NA,NA,"true",NA,NA,NA
"17",25.0,29.0,33.0,4.0,"false","false","true","false",NA,40190.0,671562.0,NA,NA,"false","26.5983","1.5982999999999983","-2.4017000000000017"
"18",24.0,26.0,30.0,4.0,"false","true","false","false",28.0,40190.0,675267.0,200.679,0.0,"false","24.899892","0.8998920000000012","-1.1001079999999988"
"19",24.0,30.0,33.0,3.0,"false","true","false","false",31.0,40190.0,673749.0,1954.107,0.0,"false","25.421818","1.4218179999999982","-4.578182000000002"
"20",21.0,25.0,25.0,0.0,"true",NA,NA,NA,25.0,NA,NA,NA,NA,"true",NA,NA,NA
"21",23.0,26.0,33.0,7.0,"false","false","true","false",NA,40190.0,674375.0,NA,NA,"false","24.535838","1.5358379999999983","-1.4641620000000017"
"22",23.0,31.0,35.0,4.0,"false","true","false","false",33.0,40190.0,674440.0,733.89,0.0,"false","25.413094","2.413094000000001","-5.586905999999999"
"23",27.0,30.0,35.0,5.0,"false","false","true","false",NA,40190.0,671868.0,NA,NA,"false","28.12882","1.128820000000001","-1.871179999999999"
"24",24.0,25.0,28.0,3.0,"false","true","false","false",27.0,40190.0,678884.0,102.3,0.0,"false","24.624138","0.6241379999999985","-0.3758620000000015"
"25",32.0,33.0,37.0,4.0,"false","false","true","false",NA,40190.0,668650.0,NA,NA,"false","32.402632","0.402631999999997","-0.597368000000003"
"26",26.0,30.0,31.0,1.0,"false","true","false","false",31.0,40190.0,673766.0,161.705,0.0,"true","27.343046","1.343046000000001","-2.656953999999999"
"27",29.0,31.0,33.0,2.0,"false","false","true","false",NA,40190.0,673888.0,NA,NA,"false","29.907692","0.9076920000000008","-1.0923079999999992"
"28",25.0,28.0,33.0,5.0,"false","false","true","false",NA,40190.0,675501.0,NA,NA,"false","25.661538","0.6615380000000002","-2.338462"
"29",26.0,26.0,31.0,5.0,"false","false","true","false",NA,40190.0,674213.0,NA,NA,"false","26.508747","0.5087469999999996","0.5087469999999996"
"30",25.0,29.0,33.0,4.0,"false","false","true","false",NA,40190.0,672274.0,NA,NA,"false","26.259826","1.2598260000000003","-2.7401739999999997"
"31",23.0,29.0,36.0,7.0,"false","true","false","false",31.0,40190.0,672282.0,1334.359,0.0,"false","25.19542","2.1954199999999986","-3.8045800000000014"
"32",22.0,26.0,28.0,2.0,"false","true","false","false",26.0,40190.0,678810.0,29.526,0.0,"false","23.187743","1.187743000000001","-2.812256999999999"
"33",29.0,33.0,37.0,4.0,"false","true","false","false",35.0,40190.0,670235.0,1856.588,0.0,"false","30.393486","1.3934859999999993","-2.6065140000000007"
"34",25.0,30.0,32.0,2.0,"false","true","false","false",32.0,40190.0,674810.0,998.835,0.0,"true","26.596931","1.5969310000000014","-3.4030689999999986"
"35",24.0,27.0,32.0,5.0,"false","true","false","false",28.0,40190.0,674625.0,174.384,0.0,"false","24.757143","0.7571429999999992","-2.2428570000000008"
"36",28.0,32.0,35.0,3.0,"false","true","false","false",34.0,40190.0,672759.0,1030.365,0.0,"false","29.247671","1.2476710000000004","-2.7523289999999996"
"37",21.0,22.0,23.0,1.0,"false","true","false","false",22.0,40190.0,679258.0,13.134,0.0,"false","21.356839","0.3568390000000008","-0.6431609999999992"
"38",26.0,28.0,34.0,6.0,"false","true","false","false",30.0,40190.0,673952.0,483.454,0.0,"false","26.859076","0.8590760000000017","-1.1409239999999983"
"39",28.0,32.0,38.0,6.0,"false","false","true","false",NA,40190.0,671151.0,NA,NA,"false","29.22987","1.2298699999999982","-2.7701300000000018"
"40",28.0,32.0,32.0,0.0,"true",NA,NA,NA,32.0,NA,NA,NA,NA,"true",NA,NA,NA
