"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",13.15,17.0,21.225000000000005,4.2250000000000005,"1","39","0","0",18.85,7074.0,73823.84615384616,41.92312820512822,420.6923076923077,"8","15.19312605128205","2.090561948717949","-1.7043098461538464"
"1",15.0,20.0,24.0,4.0,"false","true","false","false",22.0,7074.0,72928.0,6.079,0.0,"false","17.421453","2.4214529999999996","-2.5785470000000004"
"2",12.0,15.0,16.0,1.0,"false","true","false","false",16.0,7074.0,74896.0,0.422,0.0,"true","13.470588","1.4705879999999993","-1.5294120000000007"
"3",15.0,20.0,24.0,4.0,"false","true","false","false",22.0,7074.0,72501.0,25.542,0.0,"false","17.666284","2.666284000000001","-2.333715999999999"
"4",14.0,19.0,23.0,4.0,"false","true","false","false",21.0,7074.0,73510.0,5.538,0.0,"false","16.222222","2.2222219999999986","-2.7777780000000014"
"5",14.0,15.0,18.0,3.0,"false","true","false","false",16.0,7074.0,74387.0,0.837,0.0,"false","14.581395","0.5813950000000006","-0.41860499999999945"
"6",11.0,16.0,18.0,2.0,"false","true","false","false",18.0,7074.0,74319.0,0.707,0.0,"true","13.888698","2.8886979999999998","-2.1113020000000002"
"7",15.0,17.0,22.0,5.0,"false","true","false","false",19.0,7074.0,73869.0,1.545,0.0,"false","16.174009","1.1740090000000016","-0.8259909999999984"
"8",12.0,15.0,23.0,8.0,"false","true","false","false",16.0,7074.0,73724.0,1.66,0.0,"false","14.104796","2.1047960000000003","-0.8952039999999997"
"9",8.0,11.0,12.0,1.0,"false","true","false","false",12.0,7074.0,74704.0,0.421,0.0,"true","9.896512","1.8965119999999995","-1.1034880000000005"
"10",14.0,21.0,22.0,1.0,"false","true","false","false",22.0,7074.0,73327.0,1.177,0.0,"true","17.101917","3.1019170000000003","-3.8980829999999997"
"11",14.0,19.0,26.0,7.0,"false","true","false","false",22.0,7074.0,72958.0,5.543,0.0,"false","17.162359","3.1623589999999986","-1.8376410000000014"
"12",13.0,15.0,20.0,5.0,"false","true","false","false",18.0,7074.0,74151.0,0.672,0.0,"false","14.850627","1.8506269999999994","-0.14937300000000064"
"13",14.0,17.0,21.0,4.0,"false","true","false","false",19.0,7074.0,73881.0,1.826,0.0,"false","16.012698","2.0126980000000003","-0.9873019999999997"
"14",15.0,18.0,23.0,5.0,"false","true","false","false",20.0,7074.0,73952.0,2.944,0.0,"false","16.650142","1.6501419999999989","-1.3498580000000011"
"15",15.0,16.0,25.0,9.0,"false","true","false","false",21.0,7074.0,73259.0,64.161,545.0,"false","16.251938","1.251937999999999","0.2519379999999991"
"16",12.0,16.0,17.0,1.0,"false","true","false","false",17.0,7074.0,74324.0,0.478,0.0,"true","14.364189","2.3641889999999997","-1.6358110000000003"
"17",13.0,20.0,24.0,4.0,"false","true","false","false",21.0,7074.0,73050.0,1.69,0.0,"false","16.009725","3.0097249999999995","-3.9902750000000005"
"18",13.0,14.0,16.0,2.0,"false","true","false","false",16.0,7074.0,74258.0,0.554,0.0,"true","13.919701","0.9197009999999999","-0.08029900000000012"
"19",14.0,20.0,22.0,2.0,"false","true","false","false",21.0,7074.0,73568.0,1.478,0.0,"false","16.444444","2.4444440000000007","-3.5555559999999993"
"20",14.0,15.0,23.0,8.0,"false","true","false","false",17.0,7074.0,73727.0,1.104,0.0,"false","15.171135","1.1711349999999996","0.1711349999999996"
"21",14.0,17.0,21.0,4.0,"false","true","false","false",17.0,7074.0,73872.0,0.651,0.0,"false","15.571524","1.5715240000000001","-1.4284759999999999"
"22",14.0,18.0,20.0,2.0,"false","true","false","false",19.0,7074.0,74238.0,1.306,0.0,"false","15.864195","1.8641950000000005","-2.1358049999999995"
"23",12.0,16.0,21.0,5.0,"false","true","false","false",17.0,7074.0,73786.0,0.805,0.0,"false","14.205108","2.205107999999999","-1.7948920000000008"
"24",16.0,19.0,27.0,8.0,"false","true","false","false",20.0,7074.0,73345.0,8.077,0.0,"false","17.160714","1.1607139999999987","-1.8392860000000013"
"25",14.0,15.0,23.0,8.0,"false","true","false","false",19.0,7074.0,74041.0,17.097,0.0,"false","15.040724","1.0407240000000009","0.04072400000000087"
"26",17.0,21.0,31.0,10.0,"false","true","false","false",25.0,7074.0,72839.0,342.037,523.0,"false","19.215023","2.2150229999999986","-1.7849770000000014"
"27",13.0,18.0,20.0,2.0,"false","true","false","false",19.0,7074.0,73531.0,0.844,0.0,"false","16.187975","3.1879750000000016","-1.8120249999999984"
"28",13.0,20.0,22.0,2.0,"false","true","false","false",21.0,7074.0,73666.0,1.335,0.0,"false","16.529273","3.529273","-3.470727"
