"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"29",15.0,21.0,21.0,0.0,"true",NA,NA,NA,21.0,NA,NA,NA,NA,"true",NA,NA,NA
"30",9.0,12.0,16.0,4.0,"false","true","false","false",14.0,7074.0,74829.0,0.514,0.0,"false","10.627418","1.6274180000000005","-1.3725819999999995"
"31",15.0,18.0,28.0,10.0,"false","true","false","false",24.0,7074.0,73194.0,1068.84,14741.0,"false","17.283181","2.283180999999999","-0.716819000000001"
"32",12.0,14.0,16.0,2.0,"false","true","false","false",15.0,7074.0,74605.0,0.534,0.0,"false","13.063743","1.0637430000000005","-0.9362569999999995"
"33",15.0,18.0,24.0,6.0,"false","true","false","false",22.0,7074.0,73517.0,45.198,598.0,"false","16.913411","1.913411","-1.086589"
"34",12.0,21.0,27.0,6.0,"false","true","false","false",23.0,7074.0,73684.0,11.342,0.0,"false","16.528509","4.528509","-4.471491"
"35",9.0,14.0,18.0,4.0,"false","true","false","false",17.0,7074.0,74303.0,0.615,0.0,"false","12.360425","3.3604249999999993","-1.6395750000000007"
"36",13.0,19.0,24.0,5.0,"false","true","false","false",20.0,7074.0,73333.0,5.18,0.0,"false","15.450022","2.4500220000000006","-3.5499779999999994"
"37",11.0,15.0,19.0,4.0,"false","true","false","false",17.0,7074.0,73948.0,4.171,0.0,"false","13.04321","2.04321","-1.9567899999999998"
"38",11.0,14.0,17.0,3.0,"false","true","false","false",16.0,7074.0,74612.0,0.66,0.0,"false","13.163027","2.1630269999999996","-0.8369730000000004"
"39",12.0,14.0,15.0,1.0,"false","true","false","false",15.0,7074.0,74561.0,0.459,0.0,"true","12.952381","0.9523810000000008","-1.0476189999999992"
"40",12.0,17.0,20.0,3.0,"false","true","false","false",17.0,7074.0,73933.0,0.959,0.0,"false","14.007221","2.0072209999999995","-2.9927790000000005"
