"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",42.25000000000001,56.599999999999994,101.24999999999997,44.649999999999984,"0","0","0","40",NA,84650.0,1.1702728e6,NA,NA,"0",NA,NA,NA
"1",41.0,66.0,109.0,43.0,"false","false","false","true",NA,84650.0,1.169965e6,NA,NA,"false",NA,NA,NA
"2",41.0,52.0,88.0,36.0,"false","false","false","true",NA,84650.0,1.174595e6,NA,NA,"false",NA,NA,NA
"3",39.0,57.0,102.0,45.0,"false","false","false","true",NA,84650.0,1.166485e6,NA,NA,"false",NA,NA,NA
"4",47.0,53.0,123.0,70.0,"false","false","false","true",NA,84650.0,1.164747e6,NA,NA,"false",NA,NA,NA
"5",44.0,54.0,102.0,48.0,"false","false","false","true",NA,84650.0,1.17044e6,NA,NA,"false",NA,NA,NA
"6",43.0,64.0,101.0,37.0,"false","false","false","true",NA,84650.0,1.168392e6,NA,NA,"false",NA,NA,NA
"7",44.0,58.0,108.0,50.0,"false","false","false","true",NA,84650.0,1.160595e6,NA,NA,"false",NA,NA,NA
"8",45.0,54.0,96.0,42.0,"false","false","false","true",NA,84650.0,1.163032e6,NA,NA,"false",NA,NA,NA
"9",50.0,60.0,112.0,52.0,"false","false","false","true",NA,84650.0,1.159324e6,NA,NA,"false",NA,NA,NA
"10",44.0,56.0,112.0,56.0,"false","false","false","true",NA,84650.0,1.162943e6,NA,NA,"false",NA,NA,NA
"11",36.0,46.0,82.0,36.0,"false","false","false","true",NA,84650.0,1.182459e6,NA,NA,"false",NA,NA,NA
"12",40.0,64.0,95.0,31.0,"false","false","false","true",NA,84650.0,1.168386e6,NA,NA,"false",NA,NA,NA
"13",45.0,53.0,94.0,41.0,"false","false","false","true",NA,84650.0,1.172212e6,NA,NA,"false",NA,NA,NA
"14",41.0,59.0,90.0,31.0,"false","false","false","true",NA,84650.0,1.170683e6,NA,NA,"false",NA,NA,NA
"15",38.0,50.0,81.0,31.0,"false","false","false","true",NA,84650.0,1.177176e6,NA,NA,"false",NA,NA,NA
"16",40.0,55.0,85.0,30.0,"false","false","false","true",NA,84650.0,1.179975e6,NA,NA,"false",NA,NA,NA
"17",42.0,53.0,101.0,48.0,"false","false","false","true",NA,84650.0,1.172622e6,NA,NA,"false",NA,NA,NA
"18",39.0,55.0,94.0,39.0,"false","false","false","true",NA,84650.0,1.177557e6,NA,NA,"false",NA,NA,NA
"19",39.0,56.0,99.0,43.0,"false","false","false","true",NA,84650.0,1.169476e6,NA,NA,"false",NA,NA,NA
"20",46.0,66.0,112.0,46.0,"false","false","false","true",NA,84650.0,1.161292e6,NA,NA,"false",NA,NA,NA
"21",44.0,55.0,95.0,40.0,"false","false","false","true",NA,84650.0,1.171875e6,NA,NA,"false",NA,NA,NA
"22",39.0,53.0,86.0,33.0,"false","false","false","true",NA,84650.0,1.177577e6,NA,NA,"false",NA,NA,NA
"23",39.0,52.0,78.0,26.0,"false","false","false","true",NA,84650.0,1.182004e6,NA,NA,"false",NA,NA,NA
"24",43.0,64.0,110.0,46.0,"false","false","false","true",NA,84650.0,1.169431e6,NA,NA,"false",NA,NA,NA
"25",44.0,59.0,117.0,58.0,"false","false","false","true",NA,84650.0,1.167417e6,NA,NA,"false",NA,NA,NA
"26",39.0,56.0,85.0,29.0,"false","false","false","true",NA,84650.0,1.179609e6,NA,NA,"false",NA,NA,NA
"27",46.0,55.0,115.0,60.0,"false","false","false","true",NA,84650.0,1.164426e6,NA,NA,"false",NA,NA,NA
"28",43.0,50.0,105.0,55.0,"false","false","false","true",NA,84650.0,1.169649e6,NA,NA,"false",NA,NA,NA
"29",42.0,50.0,104.0,54.0,"false","false","false","true",NA,84650.0,1.171625e6,NA,NA,"false",NA,NA,NA
"30",41.0,53.0,94.0,41.0,"false","false","false","true",NA,84650.0,1.171412e6,NA,NA,"false",NA,NA,NA
"31",41.0,62.0,109.0,47.0,"false","false","false","true",NA,84650.0,1.167437e6,NA,NA,"false",NA,NA,NA
"32",42.0,67.0,113.0,46.0,"false","false","false","true",NA,84650.0,1.170693e6,NA,NA,"false",NA,NA,NA
"33",44.0,55.0,97.0,42.0,"false","false","false","true",NA,84650.0,1.168935e6,NA,NA,"false",NA,NA,NA
"34",46.0,75.0,124.0,49.0,"false","false","false","true",NA,84650.0,1.157181e6,NA,NA,"false",NA,NA,NA
"35",45.0,54.0,130.0,76.0,"false","false","false","true",NA,84650.0,1.161166e6,NA,NA,"false",NA,NA,NA
"36",48.0,66.0,128.0,62.0,"false","false","false","true",NA,84650.0,1.161718e6,NA,NA,"false",NA,NA,NA
"37",37.0,48.0,82.0,34.0,"false","false","false","true",NA,84650.0,1.184557e6,NA,NA,"false",NA,NA,NA
"38",41.0,57.0,109.0,52.0,"false","false","false","true",NA,84650.0,1.168298e6,NA,NA,"false",NA,NA,NA
"39",39.0,45.0,71.0,26.0,"false","false","false","true",NA,84650.0,1.182391e6,NA,NA,"false",NA,NA,NA
"40",43.0,57.0,112.0,55.0,"false","false","false","true",NA,84650.0,1.171155e6,NA,NA,"false",NA,NA,NA
