"Instance","Blocking","Lower_Bound","Upper_Bound","Gap","Trivial_Instance","Opt_Solved","Timed_Out","Memory_Out","Opt_Value","Num_Variables","Num_Constraints","Solving_Time","Nodes_Iterations","UB_Opt","LP_Relax","LP_Diff_Blocking","LP_Diff_LB"
"Average",3.700000000000001,4.725,5.074999999999999,0.35000000000000003,"27","13","0","0",5.0,408.0,2326.3846153846152,0.045000000000000005,0.0,"37","5.787642461538462","1.0953347692307691","-0.13543446153846161"
"1",4.0,6.0,6.0,0.0,"true",NA,NA,NA,6.0,NA,NA,NA,NA,"true",NA,NA,NA
"2",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"3",1.0,2.0,2.0,0.0,"true",NA,NA,NA,2.0,NA,NA,NA,NA,"true",NA,NA,NA
"4",3.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"5",1.0,1.0,1.0,0.0,"true",NA,NA,NA,1.0,NA,NA,NA,NA,"true",NA,NA,NA
"6",5.0,6.0,6.0,0.0,"true",NA,NA,NA,6.0,NA,NA,NA,NA,"true",NA,NA,NA
"7",4.0,5.0,6.0,1.0,"false","true","false","false",6.0,408.0,2350.0,0.008,0.0,"true","4.851852","0.851852","-0.14814799999999995"
"8",2.0,2.0,2.0,0.0,"true",NA,NA,NA,2.0,NA,NA,NA,NA,"true",NA,NA,NA
"9",5.0,7.0,8.0,1.0,"false","true","false","false",7.0,408.0,2290.0,0.011,0.0,"false","6.166667","1.1666670000000003","-0.8333329999999997"
"10",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"11",2.0,3.0,3.0,0.0,"true",NA,NA,NA,3.0,NA,NA,NA,NA,"true",NA,NA,NA
"12",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"13",5.0,7.0,8.0,1.0,"false","true","false","false",8.0,408.0,2315.0,0.008,0.0,"true","6.25","1.25","-0.75"
"14",5.0,6.0,7.0,1.0,"false","true","false","false",7.0,408.0,2305.0,0.011,0.0,"true","6.291667","1.2916670000000003","0.29166700000000034"
"15",4.0,5.0,6.0,1.0,"false","true","false","false",6.0,408.0,2323.0,0.201,0.0,"true","5.1","1.0999999999999996","0.09999999999999964"
"16",4.0,6.0,8.0,2.0,"false","true","false","false",7.0,408.0,2284.0,0.012,0.0,"false","6.1","2.0999999999999996","0.09999999999999964"
"17",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"18",2.0,2.0,2.0,0.0,"true",NA,NA,NA,2.0,NA,NA,NA,NA,"true",NA,NA,NA
"19",5.0,7.0,8.0,1.0,"false","true","false","false",8.0,408.0,2308.0,0.012,0.0,"true","6.5","1.5","-0.5"
"20",5.0,6.0,7.0,1.0,"false","true","false","false",7.0,408.0,2343.0,0.006,0.0,"true","5.8125","0.8125","-0.1875"
"21",5.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"22",3.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"23",5.0,5.0,6.0,1.0,"false","true","false","false",6.0,408.0,2312.0,0.145,0.0,"true","5.5","0.5","0.5"
"24",4.0,6.0,7.0,1.0,"false","true","false","false",6.0,408.0,2342.0,0.009,0.0,"false","5.333333","1.3333329999999997","-0.6666670000000003"
"25",3.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"26",3.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"27",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"28",3.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"29",6.0,6.0,7.0,1.0,"false","true","false","false",7.0,408.0,2320.0,0.152,0.0,"true","6.5","0.5","0.5"
"30",5.0,5.0,6.0,1.0,"false","true","false","false",6.0,408.0,2401.0,0.003,0.0,"true","5.5","0.5","0.5"
"31",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"32",2.0,2.0,2.0,0.0,"true",NA,NA,NA,2.0,NA,NA,NA,NA,"true",NA,NA,NA
"33",2.0,3.0,3.0,0.0,"true",NA,NA,NA,3.0,NA,NA,NA,NA,"true",NA,NA,NA
"34",4.0,6.0,6.0,0.0,"true",NA,NA,NA,6.0,NA,NA,NA,NA,"true",NA,NA,NA
"35",4.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"36",5.0,7.0,7.0,0.0,"true",NA,NA,NA,7.0,NA,NA,NA,NA,"true",NA,NA,NA
"37",5.0,5.0,5.0,0.0,"true",NA,NA,NA,5.0,NA,NA,NA,NA,"true",NA,NA,NA
"38",4.0,4.0,4.0,0.0,"true",NA,NA,NA,4.0,NA,NA,NA,NA,"true",NA,NA,NA
"39",0.0,0.0,0.0,0.0,"true",NA,NA,NA,0.0,NA,NA,NA,NA,"true",NA,NA,NA
"40",4.0,6.0,7.0,1.0,"false","true","false","false",7.0,408.0,2350.0,0.007,0.0,"true","5.333333","1.3333329999999997","-0.6666670000000003"
